10/23/2018 09:19:14 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:19:17 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:19:18 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:19:21 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:19:23 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:19:25 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:19:27 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:19:30 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:19:32 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:19:34 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:19:36 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:19:38 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:19:39 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:19:40 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:19:41 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:19:42 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:19:46 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:19:49 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:19:51 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
